category_name,label
category_1,月季花
category_2,山茶
category_3,紫荆
category_4,石楠
category_5,朱槿
category_6,花烛
category_7,海桐
category_8,红花酢浆草
category_9,碧冬茄
category_10,诸葛菜
category_11,蒲公英
category_12,小叶女贞
category_13,一年蓬
category_14,蜀葵
category_15,梨花
category_16,迎春花
category_17,假连翘
category_18,重瓣榆叶梅
category_19,金边黄杨
category_20,大波斯菊
category_21,芍药
category_22,洋桔梗
category_23,紫茉莉
category_24,重瓣棣棠花
category_25,郁金香
category_26,大花蕙兰
category_27,莲
category_28,万寿菊
category_29,松果菊
category_30,醉蝶花
category_31,玉簪
category_32,韭莲
category_33,白晶菊
category_34,文竹
category_35,报春花
category_36,龙血树
category_37,翠雀
category_38,建兰
category_39,向日葵
category_40,千屈菜
category_41,兰屿肉桂
category_42,百子莲
category_43,半边莲
category_44,孔雀竹芋
category_45,结香
category_46,白掌
category_47,散尾葵
category_48,蒲苇
category_49,紫露草
category_50,锦带花
category_51,绣线菊
category_52,金丝桃
category_53,铃兰
category_54,肾蕨
category_55,短叶虎尾兰
category_56,韭
category_57,菠菜
category_58,中国石蒜
category_59,毛连菜
category_60,菊芋
category_61,蓖麻
category_62,墨兰
category_63,五星花
category_64,篱栏网
category_65,荷包牡丹
category_66,合果芋
category_67,蓝花丹
category_68,银羽竹芋
category_69,凤尾丝兰
category_70,朱蕉
category_71,粉花绣线菊
category_72,风信子
category_73,白鸟
category_74,美丽月见草
category_75,双荚决明
category_76,红睡莲
category_77,花月夜
category_78,地肤
category_79,长隔木
category_80,花毛茛
category_81,合欢
category_82,人参榕
category_83,白花洋紫荆
category_84,旅人蕉
category_85,刺儿菜
category_86,木棉
category_87,米仔兰
category_88,丝瓜
category_89,仙人掌
category_90,虎尾兰
category_91,堪察加费菜
category_92,蝎尾蕉
category_93,木荷
category_94,花叶冷水花
category_95,金苞花
category_96,大吴风草
category_97,紫穗槐
category_98,吉娃莲
category_99,火炬花
category_100,荇菜
category_101,捕蝇草
category_102,非洲菊
category_103,垂花悬铃花
category_104,绶草
category_105,韩信草
category_106,吊兰
category_107,草莓
category_108,二齿猪笼草
category_109,圆盖阴石蕨
category_110,蓝花楹
category_111,罂粟
category_112,金鸡毛草
category_113,水麻
category_114,乙女心
category_115,金边吊兰
category_116,紫背天鹅绒竹芋
category_117,蒲桃
category_118,天门冬
category_119,豌豆
category_120,红雀珊瑚
category_121,马齿苋
category_122,香雪兰
category_123,柠檬
category_124,菝葜
category_125,野罂粟
category_126,龟背竹
category_127,多肉植物
category_128,银柳
category_129,苋
category_130,桔子树
category_131,少花柏拉木
category_132,狭叶龙舌兰
category_133,黄水仙
category_134,棒叶落地生根
category_135,棕竹
category_136,红化妆
category_137,若绿
category_138,山鸡椒
category_139,芦苇
category_140,红豆杉
category_141,飘香藤
category_142,斑种草
category_143,小叶榄仁
category_144,叉花草
category_145,一叶兰
category_146,蒲儿根
category_147,丝兰
category_148,马尾松
category_149,云南含笑
category_150,华重楼
category_151,金合欢
category_152,毛泡桐
category_153,野老鹳草
category_154,蓟
category_155,紫玉兰
category_156,刺柏
category_157,红宝石
category_158,榆叶梅
category_159,唐印
category_160,南美水仙
category_161,秋丽
category_162,木芙蓉
category_163,接骨木
category_164,何首乌
category_165,葡萄
category_166,圆锥绣球
category_167,款冬
category_168,黑麦草
category_169,紫堇
category_170,吊灯扶桑
category_171,筋骨草
category_172,千叶吊兰
category_173,杜仲
category_174,麒麟掌
category_175,黑松
category_176,杠柳
category_177,金钱松
category_178,美女樱
category_179,艳日辉
category_180,薄雪万年草
category_181,雷童
category_182,独根草
category_183,荔枝
category_184,文冠果
category_185,流苏树
category_186,铁线莲
category_187,还亮草
category_188,马蹄金
category_189,火烧花
category_190,栝楼
category_191,朴树
category_192,延胡索
category_193,大薸
category_194,狐尾藻
category_195,菜豆树
category_196,峨参
category_197,珙桐
category_198,夏至草
category_199,蟛蜞菊
category_200,黄刺玫
category_201,半夏
category_202,木香花
category_203,黄金榕
category_204,地梢瓜
category_205,白桦
category_206,大花葱
category_207,卷柏
category_208,蜡花
category_209,太平花
category_210,广布野豌豆
category_211,紫叶小檗
category_212,岩白菜
category_213,祗园之舞
category_214,雀舌黄杨
category_215,蓬莱松
category_216,臭椿
category_217,斑叶堇菜
category_218,丹参
category_219,臭牡丹
category_220,嘉兰
category_221,玉露
category_222,银露梅
category_223,稻
category_224,荞麦
category_225,银手指
category_226,杨梅
category_227,蓍
category_228,八角莲
category_229,清香木
category_230,美蔷薇
category_231,兰草
category_232,荆条
category_233,辣椒
category_234,蓝盆花
category_235,粉团蔷薇
category_236,狭叶珍珠菜
category_237,木鼠尾草
category_238,达摩福娘
category_239,桃美人
category_240,红三叶草
category_241,野胡萝卜
category_242,山玉兰
category_243,花叶青木
category_244,三角槭
category_245,芙蓉葵
category_246,曼陀罗
category_247,山梅花
category_248,富贵竹
category_249,蒲葵
category_250,龙芽草
category_251,紫菀
category_252,君迁子
category_253,猩猩草
category_254,珊瑚花
category_255,芙蓉菊
category_256,翻白草
category_257,麦仙翁
category_258,月桂
category_259,萱草
category_260,红桑
category_261,海棠
category_262,胡萝卜
category_263,鸦胆子
category_264,野燕麦
category_265,风轮菜
category_266,白花蛇舌草
category_267,蜜蜂花
category_268,蜡瓣花
category_269,红果仔
category_270,重瓣朱槿
category_271,羊角拗
category_272,头状四照花
category_273,红背桂
category_274,胡枝子
category_275,翠菊
category_276,芸香
category_277,千年木
category_278,丽娜莲
category_279,商陆
category_280,牵牛
category_281,照波
category_282,柳叶马鞭草
category_283,绣球藤
category_284,佛肚树
category_285,佩兰
category_286,甜瓜
category_287,盾叶天竺葵
category_288,膨珊瑚
category_289,金光菊
category_290,淫羊藿
category_291,交让木
category_292,地锦
category_293,大百合
category_294,蓝蓟
category_295,萍蓬草
category_296,喜树
category_297,灯笼果
category_298,灯心草
category_299,秋海棠
category_300,红苞喜林芋
category_301,粉紫重瓣木槿
category_302,银桦
category_303,冬青卫矛
category_304,狗尾草
category_305,香彩雀
category_306,落葵薯
category_307,番木瓜
category_308,高山榕
category_309,狗牙根
category_310,芋头
category_311,杧果
category_312,鸡矢藤
category_313,山莓
category_314,糖胶树
category_315,地菍
category_316,碧桃
category_317,鹅肠菜
category_318,扁豆
category_319,侧柏
category_320,杨桃
category_321,中华苦荬菜
category_322,醉鱼草
category_323,紫金牛
category_324,阴地蕨
category_325,莴苣叶
category_326,白凤
category_327,口红花
category_328,刺苋
category_329,蕾芬
category_330,飞机草
category_331,藿香蓟
category_332,红木
category_333,面包树
category_334,见血封喉
category_335,楼梯草
category_336,垂茉莉
category_337,生菜
category_338,冬青
category_339,冰草
category_340,黄金间碧竹
category_341,艾氏香茶菜
category_342,松叶蕨
category_343,翡翠景天
category_344,蛇含委陵菜
category_345,金粟兰
category_346,蓝石莲
category_347,落花生
category_348,木犀榄
category_349,皱果苋
category_350,韭黃
category_351,银荆
category_352,蓬莱葛
category_353,箬竹
category_354,红龙草
category_355,春之奇迹
category_356,黄花倒水莲
category_357,鲁氏石莲
category_358,微甘菊
category_359,红毛草
category_360,野迎春
category_361,毛草龙
category_362,心叶球兰
category_363,魅惑之宵
category_364,虹之玉
category_365,土茯苓
category_366,排钱树
category_367,糯米团
category_368,落地生根
category_369,江南星蕨
category_370,兰香草
category_371,藏报春
category_372,紫麻
category_373,蒺藜
category_374,蒲苇
category_375,龙须藤
category_376,蓝花鼠尾草
category_377,尖裂假还阳参
category_378,抱石莲
category_379,广防风
category_380,菰
category_381,朝天椒
category_382,金灯藤
category_383,秋茄树
category_384,台湾相思
category_385,三叶崖爬藤
category_386,九节
category_387,铁刀木
category_388,洋葱
category_389,土蜜树
category_390,南洋杉
category_391,狗肝菜
category_392,蓬子菜
category_393,翼齿六棱菊
category_394,牛白藤
category_395,小琴丝竹
category_396,苏门白酒草
category_397,箭叶秋葵
category_398,鹿藿
category_399,小蓝衣
category_400,五脉绿绒蒿
category_401,西瓜
category_402,酸豆
category_403,木油桐
category_404,玫瑰莲
category_405,阿月浑子
category_406,聚合草
category_407,石斛
category_408,美国薄荷
category_409,算盘子
category_410,毛花点草
category_411,铺地柏
category_412,玉龙观音
category_413,血桐
category_414,山小橘
category_415,饿蚂蝗
category_416,山棕
category_417,滨柃
category_418,芝麻
category_419,葫芦茶
category_420,马蔺
category_421,阴香
category_422,大叶仙茅
category_423,天仙子
category_424,山油柑
category_425,了哥王
category_426,非洲霸王树
category_427,家天竺葵
category_428,求米草
category_429,马醉木
category_430,白花小松
category_431,吊石苣苔
category_432,硬叶兜兰
category_433,石竹
category_434,救荒野豌豆
category_435,长裂苦苣菜
category_436,马兜铃
category_437,甘蓝
category_438,碱菀
category_439,红稚莲
category_440,烟草
category_441,菹草
category_442,阔叶丰花草
category_443,金线草
category_444,十字星锦
category_445,蘘荷
category_446,蕹菜
category_447,红丝线
category_448,狐尾椰子
category_449,云杉
category_450,莴笋
category_451,山姜
category_452,石刁柏
category_453,团花
category_454,白花灯笼
category_455,小酸浆
category_456,岗松
category_457,漆姑草
category_458,金银莲花
category_459,金鱼藻
category_460,野草莓
category_461,橄榄
category_462,龙爪茅
category_463,母草
category_464,稻槎菜
category_465,菠萝蜜
category_466,化香树
category_467,雪莲果
category_468,尖尾芋
category_469,金线吊乌龟
category_470,喜旱莲子草
category_471,厚皮香
category_472,南五味子
category_473,玉蕊
category_474,石胡荽
category_475,奇蒿
category_476,伞房花耳草
category_477,白雪姬
category_478,田旋花
category_479,苦槠
category_480,乌蕨
category_481,白簕
category_482,毛菍
category_483,美洲椴
category_484,香薷
category_485,罗汉松
category_486,平安树
category_487,粟米草
category_488,熊童子
category_489,山牵牛
category_490,荆芥
category_491,山芝麻
category_492,单色蝴蝶草
category_493,锡叶藤
category_494,桂木
category_495,夏天无
category_496,野慈姑
category_497,神想曲
category_498,糠稷
category_499,八宝树
category_500,谷子
category_501,大狼杷草
category_502,牛耳朵
category_503,笔管榕
category_504,獐牙菜
category_505,米碎花
category_506,鼬瓣花
category_507,趣蝶莲
category_508,丁香蓼
category_509,青灰叶下珠
category_510,蒺藜草
category_511,芹叶铁线莲
category_512,对叶榕
category_513,仙人柱
category_514,银合欢
category_515,金边胡颓子
category_516,水翁蒲桃
category_517,豨莶
category_518,酸枣
category_519,铺地柏
category_520,狗舌草
category_521,胭脂花
category_522,中华里白
category_523,珊瑚树
category_524,轮叶蒲桃
category_525,早园竹
category_526,攀倒甑
category_527,桑
category_528,无心菜
category_529,翼蓟
category_530,短萼仪花
category_531,牛耳枫
category_532,酸藤子
category_533,远志
category_534,美人蕉
category_535,葛
category_536,婆婆针
category_537,云杉
category_538,蔓荆
category_539,益母草
category_540,重瓣臭茉莉
category_541,欧洲千里光
category_542,桫椤
category_543,毛叶山桐子
category_544,樟
category_545,三脉紫菀
category_546,栀子
category_547,紫萁
category_548,青檀
category_549,南烛
category_550,豇豆
category_551,栀子皮
category_552,风箱树
category_553,秦艽
category_554,大麦
category_555,达乌里秦艽
category_556,仙人掌花
category_557,芒萁
category_558,毛麝香
category_559,水杉
category_560,牛奶子
category_561,线柱兰
category_562,多花指甲兰
category_563,湿生扁蕾
category_564,黄花草
category_565,木通
category_566,白栎
category_567,山白树
category_568,荷包豆
category_569,黄芦木
category_570,川续断
category_571,长蕊石头花
category_572,稗草
category_573,虎掌
category_574,水团花
category_575,毛曼陀罗
category_576,毛洋槐
category_577,木鼠尾草
category_578,杜英
category_579,如意草
category_580,蚊母草
category_581,荫生鼠尾草
category_582,槠头红
category_583,山酢浆草
category_584,香青兰
category_585,豆腐柴
category_586,透骨草
category_587,美国紫菀
category_588,八宝
category_589,山楂
category_590,蓪梗花
category_591,玫瑰
category_592,马兰
category_593,薄皮木
category_594,楸
category_595,丝穗金粟兰
category_596,凤凰木
category_597,文殊兰
category_598,霸王鞭
category_599,海州常山
category_600,光叶子花
category_601,夏堇
category_602,南天竹
category_603,萝藦
category_604,仙客来
category_605,大丽花
category_606,再力花
category_607,红鸡蛋花
category_608,艳山姜
category_609,菩提树
category_610,胡椒木
category_611,黄槐决明
category_612,网纹草
category_613,芦荟
category_614,袖珍椰子
category_615,萼距花
category_616,葱莲
category_617,龙船花
category_618,酢浆草
category_619,黄鹌菜
category_620,鸡冠花
category_621,火棘
category_622,一串红
category_623,天胡荽
category_624,生石花
category_625,苏铁
category_626,平枝栒子
category_627,大花六道木
category_628,虹之玉
category_629,落地生根
category_630,一品红
category_631,君子兰
category_632,球兰
category_633,柿
category_634,雏菊
category_635,构树
category_636,虎尾兰
category_637,菊花
category_638,紫薇
category_639,黄秋英
category_640,地锦草
category_641,狼尾草
category_642,十二卷
category_643,千佛手
category_644,豆瓣绿
category_645,木槿
category_646,风车草
category_647,印度榕
category_648,石竹
category_649,华北珍珠梅
category_650,水仙
category_651,红花檵木
category_652,马缨丹
category_653,假龙头花
category_654,银叶菊
category_655,木麻黄
category_656,黄花夹竹桃
category_657,翅果菊
category_658,含羞草
category_659,复羽叶栾树
category_660,铁海棠
category_661,万年青
category_662,花叶万年青
category_663,万寿菊
category_664,吊兰
category_665,天竺葵
category_666,海芋
category_667,银杏
category_668,心叶日中花
category_669,旱金莲
category_670,彩叶草
category_671,鸡冠花
category_672,梭鱼草
category_673,紫叶酢浆草
category_674,琴叶珊瑚
category_675,变叶木
category_676,大花马齿苋
category_677,千日红
category_678,欧洲夹竹桃
category_679,绿萝
category_680,夜香树
category_681,长春花
category_682,人心果
category_683,藿香
category_684,鹤望兰
category_685,桃
category_686,白兰
category_687,九里香
category_688,金钱蒲
category_689,茑萝松
category_690,菜豆树
category_691,秋英
category_692,镜面草
category_693,百合
category_694,观音莲
category_695,美丽异木棉
category_696,女贞
category_697,鸡爪槭
category_698,木犀
category_699,朱顶红
category_700,洋金凤
category_701,枸骨
category_702,金钱树
category_703,白车轴草
category_704,巴西野牡丹
category_705,桑
category_706,常春藤
category_707,火焰树
category_708,蛇莓
category_709,蓬蘽
category_710,紫苏
category_711,瓜栗
category_712,黄丽
category_713,石蒜
category_714,七叶树
category_715,巢蕨
category_716,百日菊
category_717,无花果
category_718,佛甲草
category_719,苍耳
category_720,紫竹梅
category_721,竹叶花椒
category_722,吊竹梅
category_723,南瓜
category_724,大花紫薇
category_725,玉兰
category_726,凌霄
category_727,紫叶李
category_728,苎麻
category_729,薜荔
category_730,紫罗兰
category_731,沙漠玫瑰
category_732,水杉
category_733,雪松
category_734,鸢尾
category_735,十大功劳
category_736,卷丹
category_737,使君子
category_738,垂盆草
category_739,富贵竹
category_740,鬼针草
category_741,落葵
category_742,金琥
category_743,灰莉
category_744,水鬼蕉
category_745,八角金盘
category_746,枇杷
category_747,罂粟
category_748,地锦
category_749,五叶地锦
category_750,毛竹
category_751,水塔花
category_752,地毯草
category_753,朱缨花
category_754,南洋杉
category_755,无患子
category_756,广东万年青
category_757,树马齿苋
category_758,倒挂金钟
category_759,鹅掌柴
category_760,番薯
category_761,杜鹃花
category_762,金花菊
category_763,紫藤
category_764,榕树
category_765,红康乃馨
category_766,日本晚樱
category_767,蓝花草
category_768,香龙血树
category_769,鸭跖草
category_770,野茼蒿
category_771,落地生根
category_772,射干
category_773,千里光
category_774,羊蹄甲
category_775,茉莉花
category_776,三色堇
category_777,紫背万年青
category_778,朱砂根
category_779,茄
category_780,凤仙花
category_781,美人蕉
category_782,狗牙花
category_783,青葙
category_784,天名精
category_785,芒萁
category_786,大岩桐
category_787,长寿花
category_788,侧柏
category_789,蝴蝶兰
category_790,黄金菊
category_791,睡莲
category_792,连翘
category_793,瑞香
category_794,六月雪
category_795,非洲菊
category_796,冬青
category_797,杠板归
category_798,小蓬草
category_799,藜
category_800,桔梗
category_801,瓜叶菊
category_802,络石
category_803,镜面草
category_804,蜡梅
category_805,鸡冠刺桐
category_806,荷花玉兰
category_807,喜花草
category_808,乌蔹莓
category_809,唐菖蒲
category_810,蔓马缨丹
category_811,蓝石莲
category_812,乌桕
category_813,白茅
category_814,罗汉松
category_815,葎草
category_816,刺槐
category_817,山茱萸
category_818,红鸡蛋花
category_819,炮仗花
category_820,红凤菜
category_821,子宝
category_822,熊童子
category_823,龙葵
category_824,黄蝉
category_825,麦冬
category_826,萝卜
category_827,绣球
category_828,龙舌兰
category_829,海芋
category_830,吉祥草
category_831,杉木
category_832,深山含笑
category_833,金鱼吊兰
category_834,羽衣甘蓝
category_835,非洲紫罗兰
category_836,地黄
category_837,土人参
category_838,龙吐珠
category_839,枫杨
category_840,紫弦月
category_841,露兜树
category_842,铁海棠
category_843,栗
category_844,枸杞
category_845,黑法师
category_846,补血草
category_847,牛筋草
category_848,龟甲冬青
category_849,石榴
category_850,藿香蓟
category_851,柚
category_852,蔓长春花
category_853,博落回
category_854,常春油麻藤
category_855,紫娇花
category_856,翠菊
category_857,满天星
category_858,秋海棠
category_859,红瑞木
category_860,紫锦木
category_861,泥胡菜
category_862,麦冬
category_863,紫花凤梨
category_864,勋章菊
category_865,马鞭草
category_866,牡丹
category_867,昙花
category_868,芭蕉
category_869,厚藤
category_870,马蹄莲
category_871,泽漆
category_872,雅乐之舞
category_873,蛛丝卷绢
category_874,锦晃星
category_875,薄荷
category_876,碰碰香
category_877,含笑花
category_878,女雏
category_879,葱
category_880,曼陀罗
category_881,阔叶十大功劳
category_882,姬星美人
category_883,卷绢
category_884,龟背竹
category_885,忍冬
category_886,鸡毛松
category_887,接骨草
category_888,芫荽
category_889,大花芦莉
category_890,垂柳
category_891,虎耳草
category_892,垂丝海棠
category_893,五爪金龙
category_894,垂叶榕
category_895,紫丁香
category_896,玫瑰
category_897,木茼蒿
category_898,石斛
category_899,珊瑚树
category_900,南瓜
category_901,榆树
category_902,两面针
category_903,野牡丹
category_904,井栏边草
category_905,一点红
category_906,枫香树
category_907,火龙果
category_908,胡桃
category_909,迷迭香
category_910,地涌金莲
category_911,水葫芦
category_912,马兰
category_913,番茄
category_914,荔枝草
category_915,金柑
category_916,毛地黄
category_917,蟹爪兰
category_918,小球玫瑰
category_919,蒲葵
category_920,王棕
category_921,茼蒿
category_922,叶下珠
category_923,金鱼草
category_924,紫花地丁
category_925,西番莲
category_926,大和锦
category_927,菠萝
category_928,樟
category_929,山地玫瑰
category_930,龙眼
category_931,钱串景天
category_932,基及树
category_933,地果
category_934,爆仗竹
category_935,刺桐
category_936,红叶石楠
category_937,南蛇藤
category_938,露娜莲
category_939,生菜
category_940,楝
category_941,番石榴
category_942,益母草
category_943,海金沙
category_944,云实
category_945,李
category_946,胡颓子
category_947,垂枝红千层
category_948,龙柏
category_949,青菜
category_950,椰子
category_951,铁线蕨
category_952,黑王子
category_953,竹柏
category_954,活血丹
category_955,酒瓶兰
category_956,蕺菜
category_957,金盏花
category_958,卫矛
category_959,黄皮
category_960,花叶蔓长春花
category_961,鸳鸯茉莉
category_962,檵木
category_963,山楂
category_964,车前
category_965,棣棠花
category_966,绞股蓝
category_967,野菊
category_968,酸模
category_969,七星莲
category_970,蛇床
category_971,一把伞南星
category_972,白英
category_973,清香木
category_974,地桃花
category_975,金钱木
category_976,白皮松
category_977,茅莓
category_978,薰衣草
category_979,铁苋菜
category_980,火炭母
category_981,红化妆
category_982,扶芳藤
category_983,白檀
category_984,姬胧月
category_985,枳
category_986,金钟花
category_987,紫珍珠
category_988,鳢肠
category_989,草木犀
category_990,积雪草
category_991,黄刺玫
category_992,非植物
category_993,榆树
category_994,瓦松
category_995,油桐
category_996,木瓜
category_997,虎杖
category_998,栓皮栎